Gene,N_Samples,Median_Expression,Hazard_Ratio,P_Value,Significant
DGAT1,268,7.69395,1.01337433524792,0.527268858093338,FALSE
DGAT2,268,0.3642,1.099964447106,0.456267628072706,FALSE
