Gene,Category
CD163,Immune
MRC1,Immune
ARG1,Immune
CHI3L1,Immune
TGFB1,Immune
PTGS2,Immune
CD68,Immune
CD14,Immune
ITGAM,Immune
AIF1,Immune
NOS2,Immune
FCGR3A,Immune
CD274,Immune
PDCD1LG2,Immune
LGALS9,Immune
NECTIN2,Immune
VSIR,Immune
HAVCR2,Immune
TOX,Immune
CCL2,Immune
CSF1,Immune
CXCL12,Immune
S100A8,Immune
S100A9,Immune
